LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,DEFAULT_PAYMENT_NEXT_MONTH,TOTAL_BILL_AMT,TOTAL_PAY_AMT
80000.0,2,2,2,24,0,0,0,0,0,0,0,383630.0,14137.0
30000.0,1,2,2,28,0,0,0,0,0,0,0,135160.0,8056.0
180000.0,2,5,1,44,0,0,-1,-1,-1,-1,0,38987.0,18253.0
60000.0,1,1,2,25,0,0,0,0,0,0,0,269005.0,11318.0
130000.0,2,2,2,25,0,0,0,0,0,0,0,701250.0,34000.0
20000.0,1,3,2,32,1,2,0,0,0,0,0,118792.0,4122.0
100000.0,2,2,1,33,-1,-1,-1,-1,-1,0,0,41300.0,37102.0
210000.0,2,2,1,31,0,0,0,0,0,0,0,1043305.0,36532.0
50000.0,2,2,2,35,0,0,0,0,0,0,0,94815.0,7050.0
360000.0,2,3,1,43,-2,-2,-2,-2,-2,-2,0,29345.0,28469.0
220000.0,2,2,2,38,-1,-1,-1,-1,-1,-1,1,46654.0,35272.0
70000.0,2,2,1,37,0,0,2,0,0,0,0,405789.0,16724.0
100000.0,1,1,2,27,-1,2,0,0,0,0,1,48652.0,6323.0
80000.0,2,3,2,30,2,0,0,-1,-1,-2,1,12848.0,3074.0
120000.0,2,3,1,61,1,2,0,0,0,0,1,439489.0,19399.0
260000.0,1,1,1,45,0,0,0,0,0,0,0,201358.0,36821.0
150000.0,2,2,2,24,0,0,0,0,0,0,0,724552.0,27000.0
270000.0,2,2,2,39,0,0,0,0,0,0,0,718168.0,25562.0
170000.0,1,3,1,31,0,0,0,0,0,0,0,563799.0,136500.0
140000.0,1,2,2,24,-1,-1,-1,-1,-1,0,1,101174.0,66552.0
110000.0,2,3,2,29,0,0,0,0,0,0,1,638114.0,27735.0
430000.0,1,2,1,48,0,0,0,0,0,0,0,167467.0,7847.0
360000.0,1,1,1,39,0,0,-2,-2,-2,-2,0,12768.0,0.0
150000.0,1,1,3,45,0,0,0,0,0,0,0,354121.0,8000.0
240000.0,2,1,2,46,2,2,-2,-1,0,-1,0,6644.0,7581.0
200000.0,2,1,2,33,-1,-1,-1,-2,-2,-2,0,5138.0,4974.0
50000.0,2,1,2,27,0,0,0,0,0,2,0,284348.0,12500.0
390000.0,2,1,1,38,0,0,0,0,0,0,0,861673.0,37027.0
240000.0,2,2,1,37,-1,2,-1,-1,-1,0,0,18509.0,15332.0
220000.0,1,3,2,33,1,-1,-1,0,0,0,0,13546.0,10000.0
230000.0,1,1,1,59,-1,0,0,0,0,0,1,1210604.0,42822.0
320000.0,1,1,2,29,-2,-2,-2,-2,-2,-2,0,146682.0,193189.0
100000.0,2,1,3,47,0,0,0,0,0,0,0,251207.0,9511.0
480000.0,2,2,1,46,-1,-1,-1,-2,-1,0,0,8703.0,5732.0
20000.0,1,2,2,24,0,0,-1,2,0,0,0,21139.0,2338.0
420000.0,2,2,1,32,0,0,0,0,0,0,0,1285792.0,170444.0
160000.0,1,2,1,55,0,0,0,0,0,0,0,777432.0,23193.0
380000.0,1,1,1,40,0,0,0,0,0,0,0,1414184.0,59021.0
50000.0,1,2,2,29,0,0,2,2,2,0,0,159848.0,8422.0
230000.0,1,1,2,26,-2,-2,-2,-2,-2,-2,0,2601.0,2230.0
50000.0,1,2,2,35,0,0,0,0,0,0,0,211307.0,15019.0
80000.0,1,3,1,38,0,0,0,0,0,0,0,120363.0,6910.0
80000.0,1,1,2,26,0,0,0,0,0,0,0,152001.0,8289.0
30000.0,1,1,1,38,0,0,2,0,0,0,0,172796.0,5353.0
280000.0,1,1,2,30,-1,-1,-1,-1,-1,-1,0,24551.0,7018.0
100000.0,1,2,1,47,1,2,0,0,0,0,0,582295.0,24107.0
130000.0,2,2,1,46,0,0,0,-2,-2,-2,0,250457.0,2498.0
120000.0,2,2,1,50,0,0,0,0,0,0,0,508200.0,17451.0
30000.0,1,2,2,23,0,0,2,2,2,-1,1,118121.0,9336.0
50000.0,2,3,2,23,2,2,2,2,2,2,1,276394.0,11295.0
220000.0,2,1,0,33,-1,-1,-1,-1,-1,-1,0,8474.0,5588.0
20000.0,1,3,2,27,0,0,0,0,-1,2,0,78841.0,5428.0
50000.0,2,3,2,47,0,0,0,0,0,0,0,101611.0,14500.0
80000.0,2,1,2,23,0,0,0,-2,-2,-2,0,13543.0,1600.0
110000.0,2,1,2,24,1,2,0,0,0,0,1,772934.0,27748.0
360000.0,1,2,0,38,-1,-1,-1,-2,-2,-2,0,428.0,252.0
