iter	Passed	Remaining
0	168	168334
1	189	94438
2	210	69947
3	227	56572
4	243	48530
5	260	43178
6	279	39583
7	298	36965
8	316	34883
9	336	33268
10	354	31878
11	373	30773
12	395	30042
13	412	29035
14	429	28216
15	446	27437
16	462	26755
17	478	26127
18	496	25626
19	513	25169
20	532	24841
21	548	24401
22	565	24021
23	581	23661
24	599	23377
25	617	23126
26	635	22918
27	656	22786
28	676	22655
29	697	22553
30	719	22501
31	738	22346
32	757	22190
33	773	21973
34	792	21863
35	809	21682
36	825	21482
37	841	21290
38	857	21129
39	873	20965
40	886	20743
41	902	20593
42	920	20489
43	936	20349
44	953	20238
45	970	20118
46	986	19997
47	1002	19875
48	1019	19790
49	1039	19758
50	1058	19699
51	1077	19640
52	1097	19602
53	1115	19550
54	1135	19517
55	1155	19475
56	1173	19419
57	1191	19352
58	1210	19302
59	1227	19236
60	1246	19193
61	1270	19219
62	1291	19215
63	1312	19200
64	1336	19218
65	1356	19198
66	1375	19149
67	1391	19072
68	1408	19001
69	1425	18939
70	1444	18906
71	1463	18867
72	1483	18833
73	1501	18792
74	1520	18758
75	1539	18719
76	1559	18693
77	1577	18649
78	1596	18609
79	1614	18572
80	1638	18588
81	1662	18612
82	1686	18638
83	1707	18614
84	1732	18648
85	1760	18709
86	1784	18726
87	1808	18740
88	1821	18646
89	1841	18621
90	1861	18596
91	1883	18593
92	1902	18558
93	1920	18506
94	1939	18476
95	1959	18448
96	1977	18408
97	1996	18378
98	2016	18353
99	2034	18312
100	2053	18281
101	2077	18289
102	2100	18295
103	2120	18272
104	2143	18269
105	2166	18275
106	2190	18279
107	2210	18260
108	2234	18268
109	2258	18270
110	2281	18271
111	2299	18232
112	2318	18195
113	2335	18154
114	2353	18110
115	2372	18076
116	2391	18046
117	2409	18006
118	2427	17969
119	2445	17936
120	2464	17903
121	2485	17890
122	2504	17858
123	2533	17897
124	2563	17947
125	2587	17949
126	2609	17937
127	2633	17938
128	2658	17950
129	2686	17977
130	2713	17998
131	2737	18000
132	2760	17997
133	2779	17961
134	2797	17927
135	2815	17887
136	2833	17851
137	2850	17804
138	2866	17757
139	2882	17709
140	2901	17677
141	2921	17650
142	2940	17622
143	2965	17625
144	2993	17654
145	3024	17691
146	3055	17728
147	3078	17723
148	3101	17714
149	3125	17711
150	3150	17712
151	3175	17715
152	3194	17686
153	3214	17658
154	3233	17628
155	3253	17601
156	3274	17582
157	3297	17573
158	3315	17538
159	3336	17514
160	3358	17500
161	3379	17479
162	3400	17460
163	3425	17463
164	3529	17863
165	3582	17998
166	3609	18005
167	3633	17992
168	3653	17966
169	3676	17948
170	3698	17930
171	3723	17926
172	3755	17953
173	3793	18009
174	3824	18030
175	3857	18059
176	3889	18084
177	3920	18106
178	3947	18106
179	3972	18097
180	3997	18088
181	4019	18063
182	4039	18033
183	4057	17994
184	4076	17957
185	4094	17917
186	4112	17878
187	4130	17840
188	4152	17817
189	4171	17784
190	4195	17770
191	4219	17755
192	4253	17783
193	4284	17801
194	4315	17815
195	4341	17807
196	4364	17790
197	4393	17796
198	4416	17778
199	4436	17745
200	4455	17712
201	4474	17678
202	4492	17639
203	4511	17605
204	4530	17568
205	4547	17528
206	4563	17483
207	4581	17446
208	4598	17402
209	4616	17366
210	4636	17337
211	4657	17311
212	4677	17282
213	4698	17257
214	4718	17227
215	4738	17197
216	4756	17163
217	4775	17131
218	4794	17096
219	4810	17054
220	4826	17011
221	4842	16971
222	4859	16932
223	4876	16893
224	4893	16855
225	4909	16814
226	4927	16778
227	4945	16744
228	4968	16726
229	5000	16741
230	5023	16722
231	5041	16690
232	5063	16668
233	5082	16638
234	5101	16607
235	5118	16569
236	5134	16530
237	5151	16492
238	5168	16456
239	5184	16418
240	5202	16383
241	5219	16347
242	5234	16307
243	5251	16269
244	5266	16230
245	5285	16198
246	5303	16168
247	5322	16138
248	5340	16107
249	5360	16080
250	5378	16050
251	5397	16022
252	5415	15990
253	5433	15959
254	5451	15927
255	5468	15894
256	5486	15861
257	5502	15826
258	5518	15789
259	5537	15759
260	5555	15730
261	5574	15700
262	5592	15671
263	5610	15640
264	5628	15610
265	5647	15584
266	5668	15562
267	5688	15537
268	5707	15510
269	5726	15482
270	5744	15452
271	5764	15428
272	5794	15430
273	5829	15446
274	5858	15445
275	5880	15424
276	5906	15415
277	5927	15395
278	5947	15370
279	5970	15353
280	5990	15327
281	6009	15301
282	6032	15282
283	6053	15260
284	6073	15238
285	6095	15216
286	6121	15206
287	6153	15211
288	6183	15211
289	6207	15196
290	6234	15190
291	6258	15174
292	6281	15157
293	6302	15135
294	6321	15106
295	6339	15078
296	6361	15057
297	6382	15034
298	6403	15011
299	6426	14994
300	6447	14973
301	6469	14952
302	6493	14936
303	6514	14914
304	6535	14891
305	6562	14883
306	6582	14858
307	6600	14829
308	6616	14795
309	6632	14762
310	6648	14729
311	6664	14696
312	6681	14664
313	6698	14633
314	6715	14602
315	6735	14579
316	6755	14554
317	6773	14526
318	6792	14501
319	6811	14473
320	6829	14445
321	6847	14417
322	6865	14389
323	6883	14361
324	6900	14331
325	6916	14299
326	6932	14267
327	6953	14245
328	6969	14214
329	6985	14181
330	7001	14150
331	7016	14117
332	7032	14086
333	7049	14056
334	7063	14022
335	7079	13990
336	7096	13961
337	7112	13929
338	7127	13897
339	7142	13864
340	7159	13836
341	7176	13808
342	7194	13781
343	7212	13754
344	7231	13728
345	7248	13700
346	7265	13672
347	7283	13646
348	7301	13620
349	7317	13590
350	7334	13561
351	7350	13530
352	7366	13501
353	7382	13472
354	7398	13442
355	7415	13414
356	7433	13388
357	7450	13360
358	7466	13330
359	7481	13300
360	7498	13272
361	7512	13241
362	7528	13210
363	7543	13180
364	7558	13149
365	7576	13123
366	7594	13098
367	7611	13072
368	7629	13046
369	7647	13021
370	7665	12995
371	7683	12971
372	7701	12945
373	7720	12922
374	7735	12892
375	7751	12863
376	7767	12835
377	7782	12806
378	7799	12780
379	7814	12750
380	7830	12722
381	7846	12694
382	7862	12665
383	7876	12636
384	7892	12607
385	7907	12578
386	7925	12554
387	7941	12526
388	7956	12497
389	7972	12469
390	7988	12442
391	8003	12413
392	8019	12386
393	8034	12357
394	8049	12329
395	8066	12302
396	8082	12277
397	8100	12252
398	8118	12227
399	8135	12203
400	8152	12178
401	8171	12155
402	8189	12131
403	8206	12106
404	8222	12080
405	8238	12053
406	8254	12026
407	8269	11999
408	8285	11972
409	8304	11951
410	8322	11926
411	8343	11907
412	8363	11887
413	8387	11872
414	8410	11856
415	8435	11841
416	8460	11828
417	8481	11809
418	8499	11786
419	8518	11763
420	8536	11740
421	8555	11717
422	8574	11696
423	8594	11675
424	8613	11653
425	8634	11634
426	8655	11615
427	8675	11594
428	8698	11577
429	8717	11556
430	8737	11535
431	8753	11509
432	8772	11487
433	8789	11463
434	8806	11438
435	8823	11414
436	8840	11389
437	8857	11365
438	8875	11341
439	8891	11315
440	8908	11292
441	8930	11274
442	8949	11252
443	8972	11235
444	8992	11215
445	9015	11199
446	9039	11183
447	9062	11166
448	9082	11145
449	9102	11125
450	9120	11101
451	9137	11078
452	9154	11053
453	9168	11026
454	9184	11001
455	9200	10976
456	9216	10951
457	9232	10926
458	9250	10903
459	9269	10881
460	9287	10859
461	9306	10837
462	9324	10814
463	9343	10792
464	9366	10776
465	9386	10756
466	9407	10736
467	9425	10714
468	9443	10691
469	9461	10669
470	9478	10645
471	9497	10624
472	9517	10603
473	9541	10587
474	9562	10569
475	9586	10553
476	9607	10534
477	9627	10513
478	9646	10492
479	9668	10473
480	9688	10453
481	9709	10434
482	9729	10414
483	9748	10393
484	9768	10372
485	9791	10355
486	9821	10345
487	9858	10342
488	9878	10323
489	9901	10305
490	9920	10284
491	9943	10267
492	9970	10254
493	9994	10237
494	10034	10236
495	10071	10233
496	10106	10228
497	10143	10224
498	10180	10221
499	10219	10219
500	10258	10217
501	10298	10216
502	10334	10211
503	10368	10204
504	10411	10205
505	10445	10197
506	10477	10188
507	10510	10179
508	10539	10167
509	10567	10153
510	10597	10141
511	10627	10129
512	10656	10116
513	10680	10098
514	10703	10080
515	10730	10065
516	10761	10053
517	10793	10043
518	10823	10030
519	10854	10019
520	10879	10002
521	10904	9985
522	10925	9965
523	10946	9944
524	10968	9923
525	10991	9904
526	11010	9882
527	11029	9859
528	11048	9837
529	11066	9813
530	11084	9790
531	11102	9767
532	11121	9744
533	11142	9723
534	11167	9706
535	11195	9691
536	11220	9673
537	11249	9660
538	11275	9643
539	11301	9627
540	11331	9613
541	11350	9591
542	11375	9573
543	11391	9548
544	11408	9524
545	11424	9499
546	11441	9475
547	11457	9449
548	11474	9426
549	11492	9402
550	11510	9379
551	11529	9357
552	11547	9334
553	11565	9311
554	11583	9287
555	11602	9264
556	11621	9242
557	11639	9220
558	11663	9201
559	11687	9183
560	11732	9180
561	11759	9165
562	11788	9149
563	11813	9132
564	11836	9113
565	11859	9093
566	11939	9117
567	11963	9098
568	11981	9075
569	11997	9051
570	12013	9026
571	12030	9001
572	12046	8977
573	12065	8954
574	12083	8931
575	12101	8908
576	12120	8885
577	12139	8862
578	12157	8839
579	12175	8816
580	12194	8794
581	12212	8771
582	12229	8747
583	12246	8723
584	12262	8699
585	12278	8674
586	12295	8650
587	12312	8627
588	12332	8605
589	12350	8582
590	12367	8559
591	12386	8536
592	12404	8513
593	12422	8490
594	12441	8468
595	12459	8446
596	12477	8423
597	12492	8398
598	12509	8374
599	12523	8348
600	12538	8324
601	12553	8299
602	12570	8276
603	12588	8253
604	12606	8230
605	12624	8208
606	12643	8186
607	12662	8163
608	12680	8141
609	12698	8118
610	12716	8096
611	12734	8073
612	12751	8050
613	12767	8026
614	12782	8002
615	12798	7978
616	12814	7954
617	12830	7930
618	12844	7906
619	12860	7882
620	12876	7858
621	12891	7834
622	12907	7810
623	12927	7789
624	12943	7766
625	12961	7743
626	12979	7721
627	12998	7699
628	13017	7678
629	13036	7656
630	13055	7634
631	13073	7612
632	13088	7588
633	13104	7565
634	13120	7541
635	13135	7517
636	13149	7493
637	13164	7469
638	13179	7445
639	13196	7422
640	13211	7399
641	13227	7376
642	13242	7352
643	13263	7331
644	13281	7309
645	13299	7287
646	13318	7266
